1992	Assassination	Meta Department, Colombia
1992	Bombing	Medellin, Colombia
1992	Shooting, Kidnapping	Antioquia, Colombia
1992	Kidnapping and murder	Lod, Israel
1992	Bombing	Medellin, Colombia
1992	Bombings	Aden, Yemen
1993	Car bombing	Medellín, Colombia
1993	Shooting	Langley, Virginia, United States
1993	Bombing	Barrancabermeja, Colombia
1993	Truck Bombing	New York City, United States
1993	Bombings	Bombay, India
1993	Bombings	Warrington, United Kingdom
1993	Land mine	Karnataka, India
1993	Suicide bombing	Mehola, West Bank
1993	Truck bombing	City of London, United Kingdom
1993	Hijacking	Amritsar, India
1993	Suicide Bombing	Colombo, Sri Lanka
1993	Arson	Solingen, Germany
1993	Car bombings	Madrid, Spain
1993	Arson	Sivas, Turkey
1993	Mass shooting, arson	Başbağlar, Erzincan province, Turkey
1993	Mass shooting	Cape Town, South Africa
1993	Kidnapping and murder	Ramallah, West Bank
1993	Bombing	Chennai, India
1993	Attempted Attack	Riofrío, Valle del Cauca, Colombia
1993	Assassination attempt	Oslo, Norway
1993	Bombing	Belfast, Northern Ireland
1993	Ambush	Apure State, Venezuela
1993	Massacre	Antioquia Department, Colombia
1993	Ambush	Sucumbíos Province, Ecuador
1993	Shooting	Boyacá, Colombia
1993	Mass shooting	Cape Town, South Africa
1995	Suicide bombing	Beit Lid Junction, Israel
1995	Bombings	Jammu, India
1995	Car bombing	Algiers, Algeria
1995	Shooting	Apure Department, Venezuela
1995	Car bombing	Zakho, Iraq
1995	Armed Assault	Ituango, Antioquia Department, Colombia
1995	Car bombing	Algiers, Algeria
1995	Gassing	Tokyo, Japan
1995	Suicide bombing	Kfar Darom, Gaza Strip
1995	Truck bombing	Oklahoma City, U.S.
1995	Shooting, Raid	Rivera, Huila, Colombia
1995	Shootdown	Jaffna, Sri Lanka
1995	Shootdown	Jaffna, Sri Lanka
1995	Massacre	Kallarawa, Sri Lanka
1995	Car bombing	Ankara, Turkey
1995	Dynamite	Medellín, Colombia
1995	Siege	Budyonnovsk, Russia
1995	Arson	West Perth, Australia
1995	Car bombing	Constantion, Algeria
1995	Kidnapping	Pahalgam, India
1995	Bombing	Navaly, Sri Lanka
1995	Bombing	Jammu, India
1995	Suicide bombing	Tel Aviv, Israel
1995	Bombing	Paris, France
1995	Bombing	Jammu, India
1995	Ambush	Choachí, Cundinamarca Department, Colombia
1995	Bombing	Paris, France
1995	Suicide bombing	Jerusalem, Israel
1995	Attempted bombing	Lyon, France
1995	Mortar	Sarajevo, Bosnia and Herzegovina
1995	Ambush	Bolívar Department, Colombia
1995	Car bombing	Algiers, Algeria
1995	Suicide bombing	Chandigarh, India
1995	Bombing	Paris, France
1995	Car bombings	Srinagar, India
1995	Car bombing	Lyon, France
1995	Bombing	Nagar Kovil, Sri Lanka
1995	Massacres	Eastern Province, Sri Lanka
1995	Bombing	Paris, France
1995	Sabotage	Arizona, United States
1995	Bombing	Paris, France
1995	Suicide car bombing	Rijeka, Croatia
1995	Bombing	Salahuddin, Iraq
1995	Assassination	Tel Aviv, Israel
1995	Suicide bombings	Colombo, Sri Lanka
1995	Car bombing	Riyadh, Saudi Arabia
1995	Car bombing	Baghdad, Iraq
1995	Car bombing	Islamabad, Pakistan
1995	Car bombing	Grozny, Chechnya
1995	Car bombing	Madrid, Spain
1995	Car bombing	Peshawar, Pakistan
1996	Hostage-taking	Dagestan, Russia
1996	Hostage-taking	Black Sea
1996	Suicide bombing	Colombo, Sri Lanka
1996	Truck bombing	London, United Kingdom
1996	Massacre	Kumarapuram, Sri Lanka
1996	Suicide bombings	Israel
1996	Shooting	Tolima Department, Colombia
1996	Ambush	Yaryshmardy, Russia
1996	Mass shooting	Cairo, Egypt
1996	Massacre	Segovia, Colombia
1996	Attack	Dečani, Serbia
1996	Bombing	Moscow, Russia
1996	Van bombing	Manchester, United Kingdom
1996	Massacre	La Gabarra, Tibú, Colombia
1996	Truck bombing	Khobar, Saudi Arabia
1996	Suicide bombing, assassination	Jaffna, Sri Lanka
1996	Bombing	Dehiwala, Sri Lanka
1996	Bombing	Atlanta, United States
1996	Ambush	Miraflores, Guaviare, Colombia
1996	Assault	Puerto Leguízamo, Putumayo, Colombia
1996	Shooting, Raid	Antioquia Department, Colombia
1996	Bombing	Moscow, Russia
1996	Arson	Bloomington, Minnesota, United States
1996	Bombing	Paris, France
1996	Massacre	Sucre Department, Colombia
1996	Massacre, invasion	Novye Atagi, Russia
1996	Bombing	Western Assam, India
1997	Gun Attack	Bessbrook, Northern Ireland
1997	Shooting	New York City, United States
1997	Bombings	Ürümqi, China
1997	Car bombing	Apartadó, Colombia
1997	Mass shooting	/ Island of Peace, Israeli-Jordanian border
1997	Suicide bombing	Tel Aviv, Israel
1997	Massacre	Budgam, India
1997	Raid, shootout	Lima, Peru
1997	Truck bombing	Bogotá, Colombia
1997	Truck bombing	Moscow, Russia
1997	Massacre	Mapiripán, Meta, Colombia
1997	Suicide bombings	Jerusalem, Israel
1997	Assassination	Norte de Santander Department, Colombia
1997	Shooting, shootout	New Hampshire/Vermont, United States
1997	Attempted Assault	San Miguel, Putumayo, Colombia
1997	Suicide bombings	Jerusalem, Israel
1997	Bombing	Havana, Cuba
1997	Bombing	Mostar, Bosnia and Herzegovina
1997	Shooting, Clashes	Antioquia Department, Colombia
1997	Bombing	Colombo, Sri Lanka
1997	Massacre	Ituango, Colombia
1997	Massacre	Deir el-Bahari, Egypt
1997	Car bombing	Hyderabad, India
1997	Shooting, Clashes	Patascoy, Colombia
1997	Massacre	Acteal, Mexico
1998	Suicide bombing	Kandy, Sri Lanka
1998	Massacre	Jammu and Kashmir, India
1998	Bombings	Coimbatore, India
1998	Assault	Caquetá Department, Colombia
1998	Ambush, Landmine	Norte de Santander Department, and Antioquia, Colombia
1998	Kidnapping	Cundinamarca Department, Colombia
1998	Bombings	Riga, Latvia
1998	Shooting	Meta Department, Colombia
1998	Massacre	Udhampur, India
1998	Suicide bombing	Jaffna, Sri Lanka
1998	Mass Murder	Barrancabermeja, Colombia
1998	Assassination	Jaffna, Sri Lanka
